refcode,chemical_name,color,doi,authors,journal,first_page,volume,date,simplified_color
OQEPUW,"catena-[(μ8-4,4'-(1,1,1,3,3,3-Hexafluoropropane-2,2-diyl)dibenzene-1,2-dicarboxylato)-aqua-di-cadmium(ii) hydrate]",colorless,10.1039/c1cc10990a,"Lei Hou, Wen-Juan Shi, Yao-Yu Wang, Ying Guo, Chen Jin, Qi-Zhen Shi",Chemical Communications,5464,47,2011-07-18,colorless
OQEROS,"catena-(Cadmium (μ5-dihydrogen 5,10,15,20-(4-carboxylatophenyl)porphyrinato)-cadmium-palladium dimethylformamide clathrate monohydrate)",dark brown,10.1039/c1cc10461f,"Ming-Hua Xie, Xiu-Li Yang, Chuan-De Wu",Chemical Communications,5521,47,2011-07-18,brown
BEKYOG,catena-(tetrakis(μ5-Oxalato)-bis(μ4-oxalato)-hexaaqua-di-chromium-hexa-silver),purple,10.1021/ic034988k,"P.A.W.Dean, D.Craig, I.Dance, V.Russell, M.Scudder",Inorganic Chemistry,443,43,2004-06-01,purple
BELTOD,"catena-((μ7-4,4',4''-phosphoryltribenzoato)-(μ6-4,4',4''-phosphoryltribenzoato)-diaqua-(N,N-dimethylformamide)-tri-manganese N,N-dimethylformamide solvate tetrahydrate)",colorless,10.1002/zaac.201200238,"P.Schmiedel, H.Krautscheid",Zeitschrift fur Anorganische und Allgemeine Chemie,1839,638,2013-02-22,colorless
BEPNIV,catena-[(μ3-N-(Pyridin-4-ylmethyl)-L-alaninato)-acetato-zinc dihydrate],colorless,10.1039/c3cc41842a,"T.Kundu, S.C.Sahoo, S.Sahaa, R.Banerjee",Chemical Communications,5262,49,2013-05-17,colorless
BEPPOD,catena-[(μ3-N-(Pyridin-4-ylmethyl)-L-valinato)-formato-zinc dihydrate],colorless,10.1039/c3cc41842a,"T.Kundu, S.C.Sahoo, S.Sahaa, R.Banerjee",Chemical Communications,5262,49,2013-05-17,colorless
BEPREV01,"catena-[tris(μ5-4,4'-(4,4'-Bipyridine-2,6-diyl)dibenzoato)-(μ3-hydroxo)-tri-nickel N,N-dimethylformamide solvate]",green,10.1039/C3SC22222E,"Yong-Sheng Wei, Kai-Jie Chen, Pei-Qin Liao, Bao-Yong Zhu, Rui-Biao Lin, Hao-Long Zhou, Bao-Ying Wang, Wei Xue, Jie-Peng Zhang, Xiao-Ming Chen",Chemical Science,1539,4,2013-05-21,green
OQUCOU,"catena-[bis(dimethylammonium) tetrakis(μ-(R)-5-(1-carboxylatoethoxy)isophthalato)-bis(μ-1,4-bis(imidazolyl)benzene)-tetra-aqua-penta-cadmium(ii) unknown solvate dihydrate]",colorless,10.1016/j.jssc.2016.06.001,"Zhong-Xuan Xu, Ke-Hou Ao, Jian Zhang",Journal of Solid State Chemistry,105,241,2016-07-14,colorless
OQUZIL,"catena-[1-(4-(1H-imidazol-3-ium-1-yl)phenyl)-1H-imidazolediium bis(μ-1,4-bis(1-imidazolyl)benzene)-triacontakis(μ-oxo)-(μ-tetraoxoborato)-hexakis(oxo)-dodeca-tungsten-di-silver trihydrate]",yellow,10.1039/C6CE00880A,"Chunyan Zhao, Shaobin Li, Huiyuan Ma, Chunjing Zhang, Haijun Pang, Yan Yu, Zhuanfang Zhang",CrystEngComm,6233,18,2016-07-14,yellow
ORAGEU,catena-(octakis(μ3-Selenido)-dodecakis(μ2-cyano)-tetradeca-aqua-chloro-dodecacyano-tri-gadolinium-octa-rhenium dihydrate),dark red,10.1016/j.poly.2011.02.051,"O.A.Efremova, Yu.V.Mironov, N.V.Kuratieva, V.E.Fedorov",Polyhedron,1404,30,2011-09-23,red
ORULEU,"catena-((μ-biphenyl-2,3',4,5',6-pentacarboxylato)-(μ-bis(4-pyridyl)amine)-(μ-hydroxo)-aqua-tri-cobalt ethanol solvate dihydrate)",colorless,10.1016/j.jssc.2016.07.015,"Zhi-Hang Zhou, Min-Le Han, Ya-Pan Wu, Wen-Wen Dong, Dong-Sheng Li, Jack Y.Lu",Journal of Solid State Chemistry,207,242,2016-07-20,colorless
OSAVUA,"catena-[(μ4-2,5-Dihydroxybenzene-1,4-dicarboxylato)-bis(dimethylformamide-O)-calcium(ii)]",colorless,10.1021/cg101114h,"Po-Ching Liang, Hsin-Kuan Liu, Chun-Ting Yeh, Chia-Her Lin, V.Zima",Crystal Growth and Design,699,11,2011-08-15,colorless
OSIXEU,"catena-(tetrakis(μ3-3-Ethyl-1,2,4-triazol-1,2,4-triyl)-tri-silver dichloromethane solvate)",colorless,10.1021/cg101435b,"Jie-Peng Zhang, Xiao-Lin Qi, Zhi-Juan Liu, Ai-Xin Zhu, Yan Chen, Jing Wang, Xiao-Ming Chen",Crystal Growth and Design,796,11,2011-08-15,colorless
OSUGUG,"catena-[bis(μ-1,1'-(1,4-phenylene)di(imidazole))-diaqua-copper(ii) diperchlorate monohydrate]",blue,10.1021/acs.inorgchem.6b00746,"Zuo-Xi Li, Kang-YuZou, Xue Zhang, Tong Han, YingYang",Inorganic Chemistry,6552,55,2016-08-19,blue
OTALUS,"catena-[tetra-n-butylammonium bis(μ-4-(pyridin-4-yl)pyridin-1-oxide)-tetrakis(μ-2,6-diisopropylphenyl phosphato)-(μ-fluoro)-tetra-zinc]",colorless,10.1021/acs.inorgchem.5b02949,"A.A.Dar, G.A.Bhat, R.Murugavel",Inorganic Chemistry,5180,55,2016-08-19,colorless
OTAVAH,"catena-(bis(μ2-Benzoato)-(μ2-4,4'-bipyridine-N,N'-dioxide)-diaqua-gadolinium(iii) benzoic acid solvate)",colorless,10.1021/cg101432k,"R.Sarma, H.Deka, A.K.Boudalis, J.B.Baruah",Crystal Growth and Design,547,11,2011-08-15,colorless
OTAVOV,"catena-(bis(μ2-Benzoato)-(μ2-4,4'-bipyridine-N,N'-dioxide)-diaqua-lanthanum(iii) benzoic acid solvate)",yellow,10.1021/cg101432k,"R.Sarma, H.Deka, A.K.Boudalis, J.B.Baruah",Crystal Growth and Design,547,11,2011-08-15,yellow
OTAWIR,"catena-[(μ-4,4'-(4,4'-bipyridine-2,6-diyl)dibenzoato)-aqua-zinc(ii) N,N-dimethylformamide solvate]",,10.1016/j.inoche.2016.10.011,"Meng-Yao Sun, Di-Ming Chen, Huan Zhang",Inorganic Chemistry Communications,103,73,2016-08-21,
OTODEI,catena-((μ-1-(pyridin-4-ylmethyl)-4-(4-((4-(pyridin-4-ylmethyl)piperazin-1-yl)methyl)benzyl)piperazine)-di-silver bis(tetrafluoroborate) acetonitrile solvate),orange,10.1021/acs.inorgchem.6b00933,"C.S.Hawes, S.E.Hamilton, J.Hicks, G.P.Knowles, A.L.Chaffee, D.R.Turner, S.R.Batten",Inorganic Chemistry,6692,55,2016-08-22,orange
OTOXIF,catena-[Di-potassium uncosakis(μ2-cyano)-acetonitrile-octaaqua-penta-manganese-tri-molybdenum hexahydrate],green,10.1039/c0nj00860e,"J.Milon, P.Guionneau, C.Duhayon, J.-P.Sutter",New Journal of Chemistry,1211,35,2011-08-22,green
OVUCOY,"catena-[Tetramethylammonium bis(μ5-hydrogen benzene-1,4-diylbis(phosphonato))-(μ2-fluoro)-aqua-hexa-oxo-tri-uranium(vi) hemihydrate]",yellow,10.1021/cg200129g,"P.O.Adelani, A.G.Oliver, T.E.Albrecht-Schmitt",Crystal Growth and Design,1966,11,2011-09-23,yellow
OVUDAL,"catena-[Diethyl(dimethyl)ammonium bis(μ5-hydrogen benzene-1,4-diylbis(phosphonato))-(μ2-fluoro)-aqua-hexa-oxo-tri-uranium(vi)]",yellow,10.1021/cg200129g,"P.O.Adelani, A.G.Oliver, T.E.Albrecht-Schmitt",Crystal Growth and Design,1966,11,2011-09-23,yellow
OWAVIS,"catena-(tris(μ5-Benzene-1,3,5-tricarboxylato)-(μ4-benzene-1,3,5-tricarboxylato)-bis(μ3-3,5-dimethyl-1,2,4-triazolato)-penta-aqua-hepta-zinc)",colorless,10.1021/cg101569a,"Yun Ling, Zhenxia Chen, Hua Zheng, Yaming Zhou, Linhong Weng, Dongyuan Zhao",Crystal Growth and Design,2811,11,2011-09-23,colorless
OWIHEJ,"catena-[(μ-biphenyl-3,3',5,5'-tetracarboxylato)-bis(μ-hydroxo)-di-indium perdeuteromethane]",white powder,10.1021/jacs.6b01323,"M.Savage, Ivan da Silva, M.Johnson, J.H.Carter, R.Newby, M.Suyetin, E.Besley, P.Manuel, S.Rudic, A.N.Fitch, C.Murray, W.I.F.David, Sihai Yang, M.Schroder",Journal of the American Chemical Society,9119,138,2016-09-20,colorless
OWIJAH,"catena-[(μ-biphenyl-3,3',5,5'-tetracarboxylato)-bis(μ-hydroxo)-di-indium dideuterium]",white powder,10.1021/jacs.6b01323,"M.Savage, Ivan da Silva, M.Johnson, J.H.Carter, R.Newby, M.Suyetin, E.Besley, P.Manuel, S.Rudic, A.N.Fitch, C.Murray, W.I.F.David, Sihai Yang, M.Schroder",Journal of the American Chemical Society,9119,138,2016-09-20,colorless
OWIZAW,"catena-[(μ8-4,4',4'',4'''-(Methanetetrayltetrakis(benzene-4,1-diylethyne-2,1-diyl))tetrabenzoato)-diaqua-di-copper(ii) diethylformamide solvate hexacosahydrate]",green,10.1021/ic1009169,"Demin Liu, Zhigang Xie, Liqing Ma, Wenbin Lin",Inorganic Chemistry,9107,49,2011-09-07,green
OXALEF,"catena-(bis(μ7-4-(3-(4-Carboxyphenoxy)-2,2-bis((4-carboxyphenoxy)methyl)propoxy)benzoato)-tri-manganese bis(dimethylammonium) N,N-dimethylacetamide solvate)",colorless,10.1021/ic1019229,"Tian-Fu Liu, Jian Lu, Chongbin Tian, Minna Cao, Zujin Lin, Rong Cao",Inorganic Chemistry,2264,50,2011-10-03,colorless
OXEVOE,"catena-((μ-2,11-dithia[3.3](3,5)pyrdinophane)-siliver(i) nitrate)",colorless,10.1134/S1070328416060087,"P.C.Wu, R.Shi, D.Y.Fang, C.C.Jin, M.Zhou",Koordinatsionnaia khimiia,455,42,2016-10-18,colorless
OYEJOS,"catena-(bis(μ12-Phosphato)-pentakis(μ2-1,4-bis(imidazolyl)benzene-N,N')-pentacontakis(μ2-oxo)-bis(1-(4-bromophenyl)imidazole-N3)-tri-copper-tetracosa-molybdenum)",green,10.1016/j.inoche.2010.08.020,"Hong-Ying Zang, Ke Tan, Ya-Qian Lan, Guang-Sheng Yang, Kui-Zhan Shao, Zhong-Min Su",Inorganic Chemistry Communications,1473,13,2011-10-18,green
OYEROB,catena-[hexakis(μ-nicotinato)-(μ-oxido)-diaqua-methanol-bis(ethanol)-tetranitrato-di-cadmium-tri-chromium nitrate ethanol methanol solvate tetrahydrate],green,10.1039/C6CE01544A,"Qing-Yuan Yang, Kai-Jie Chen, A.Schoedel, L.Wojtas, J.J.P.IV, M.J.Zaworotko",CrystEngComm,8578,18,2016-10-20,green
OYEWIA,"catena-[bis(μ-4,4',4''-nitrilotribenzoato)-tetrakis(μ-hydroxy)-tris(fomato)-aqua-tetra-aluminium formate unknown solvate]",,,Tian Jiayue,CSD Communication,,,2016-10-21,
PABBEC,"catena-[bis(μ-2,2'-(1,4-phenylene)diacetonitrile)-hexakis(μ-trifluoroacetato)-hexa-silver]",colorless,10.1016/j.ica.2015.11.027,"Jing Han, Xiang Liu, Zhong Yu, Xiang He, Ning-Xia Xu",Inorganica Chimica Acta,124,442,2015-12-17,colorless
PAKFAL,catena-[bis(μ-Isonicotinato)-tetrakis(μ-cyano)-diaqua-di-gold-di-manganese dihydrate],colorless,10.1246/cl.2009.992,"T.Kawasaki, C.Kanadani, T.Saito, T.Kitazawa",Chemistry Letters,992,38,2017-02-01,colorless
PALTON,"catena-((μ4-3,3'-(4,4'-Dicarboxylatobiphenyl-2,2'-diyl)bis(methylene)bis(1-methyl-1H-imidazol-3-ium))-aqua-copper)",blue,10.1021/cg2011309,"J.M.Roberts, O.K.Farha, A.A.Sarjeant, J.T.Hupp, K.A.Scheidt",Crystal Growth and Design,4747,11,2012-02-24,blue
PAPPIH,catena-(bis(μ2-N-Pyridin-3-yl-N2-(pyridin-3-ylcarbonyl)-leucinamide)-dibromo-copper dihydrate),blue,10.1021/cg201161q,"S.Banerjee, P.Dastidar",Crystal Growth and Design,5592,11,2012-02-24,blue
PAPXUB,"catena-((μ2-1,2-bis(3-((pyridin-3-yl)methoxy)benzylidene)hydrazine)-bis(μ2-thiocyanato)-cadmium dichloromethane solvate)",yellow,10.1021/cg201226t,"Jing Xiao, Cheng-Xia Chen, Qi-Kui Liu, Jian-Ping Ma, Yu-Bin Dong",Crystal Growth and Design,5696,11,2012-02-24,yellow
PARHEW,"catena-(bis(μ4-Adipato)-tetraaqua-di-calcium 1,2-bis(4-pyridyl)ethane clathrate)",colorless,10.1039/b502512e,"D.T.de Lill, D.J.Bozzuto, C.L.Cahill",Dalton Transactions,2111,,2005-10-19,colorless
PARKUQ01,"catena-[Dimethylammonium (μ5-benzene-1,3,5-tricarboxylato)-cadmium N,N-dimethylacetamide solvate]",,10.1039/C5CC05097A,"Yun-Wu Li, Jian Xu, Da-Cheng Li, Jian-Min Dou, Hui Yan, Tong-Liang Hu, Xian-He Bu",Chemical Communications,14211,51,2015-08-10,
PARNON,"catena-(bis(μ4-4,4'-oxydibenzoato)-bis(N,N-dimethylformamide)-di-copper(ii) N,N-dimethylformamide solvate dihydrate)",colorless,10.1007/s11426-011-4347-2,"XiaoFeng Zhang, Qian Yang, JiongPeng Zhao, Tong-Liang Hu, Ze Chang, Xian-He Bu",Science China Chemistry,1446,54,2012-09-04,colorless
PARSAF,"catena-[Dimethylammonium tetrakis(μ-benzene-1,3,5-tricarboxylato)-tetra-aqua-dichloro-bis(N,N-dimethylformamide)-di-calcium(ii)-tri-indium(iii) unknown solvate]",white,10.1021/acs.cgd.6b01538,"Yan-Jie Qi, Dan Zhao, Xin-Xiong Li, Xiang Ma, Wen-Xu Zheng, Shou-Tian Zheng",Crystal Growth and Design,1159,2017,2017-02-06,colorless
PASMUT,"catena(-bis(μ6-Cyclohexane-1,2,3,4,5,6-hexacarboxylato)-(μ2-aqua)-hepta-aqua-tri-zinc pentahydrate)",,10.1039/c2ce25283j,"Feifei Xing, Yueling Bai, Xiang He, Juan Jia, Dong Zhou, Min Shao, Shourong Zhu",CrystEngComm,4312,14,2012-09-04,
PASNAA01,"catena-((μ6-Cyclohexane-1,2,3,4,5,6-hexacarboxylato)-(μ2-aqua)-hepta-aqua-tri-cobalt pentahydrate)",purple,10.1016/j.inoche.2012.07.027,"Zhi-Guo Gu, Chun-Yan Pang, Zaijun Li, Hong-Ping Xiao",Inorganic Chemistry Communications,237,24,2013-02-22,purple
PEBNEP,"catena-(bis(μ2-Chloro)-tetrachloro-bis(1,3,5-tris(pyrazol-1-ylmethyl)benzene-N,N',N'')-cobalt(ii)-di-copper(ii) trihydrate)",green,10.1039/dt9930000687,"Wen-Kuen Chang, Shiann-Cherng Sheu, Gene-Hsiang Lee, Yu Wang, Tong-Ing Ho, Yuan-Chuan Lin","Journal of the Chemical Society, Dalton Transactions",687,,1993-10-19,green
PECBOQ,"catena-((μ2-1,5-bis((2-pyridylmethyl)amino)pentane)-(μ8-1,4-butylenediphosphanato)-aqua-hexamolybdate-di-copper tetradecahydrate)",blue,10.1016/j.ica.2012.01.011,"M.Bartholoma, Hoi Chueng, S.Pellizzeri, K.Ellis-Guardiola, S.Jones, J.Zubieta",Inorganica Chimica Acta,90,389,2012-09-04,blue
PEDRIA,"catena-(tris(μ4-benzene-1,4-dicarboxylato)-(μ4-oxo)-tetra-zinc octakis(dihydrogen) clathrate)",colorless,10.1039/b511941c,"E.C.Spencer, J.A.K.Howard, G.J.McIntyre, J.L.C.Rowsell, O.M.Yaghi",Chemical Communications,278,,2006-05-10,colorless
PEFJUF,catena-[bis(Triethylammonium) (μ4-hydrogen phosphato)-(μ4-phosphato)-tetrakis(μ3-phosphato)-penta-aluminium dihydrate],,10.1006/jssc.1993.1023,"R.H.Jones, J.M.Thomas, Jiesheng Chen, Ruren Xu, Qisheng Huo, Shougui Li, Zhanguo Ma, A.M.Chippindale",Journal of Solid State Chemistry,204,102,1993-10-28,
PEFRUP,"catena-(hexakis(μ4-2,2'-Bipyridine-5,5'-dicarboxylato-O,O',O'',O''')-hexa-aqua-tetra-gadolinium dimethylformamide solvate hydrate)",colorless,10.1021/cg300379u,"M.Gustafsson, Jie Su, Huijuan Yue, Qingxia Yao, Xiaodong Zou",Crystal Growth and Design,3243,12,2013-04-24,colorless
PEFTAX,"catena-(bis(μ4-N,N'-Oxalylbis(D-alaninato))-bis(μ2-4,4'-bi-(3,5-dimethylpyrazole))-tetra-copper tetrahydrate)",,10.1021/cg300440t,"Lang Lin, Rongmin Yu, Wenbin Yang, Xiao-Yuan Wu, Can-Zhong Lu",Crystal Growth and Design,3304,12,2013-04-24,
PEGBAG,"catena-((μ2-bis(5-Methyl-1H-1,2,4-triazolato-3-yl)methane-N1,N1',N4,N4')-(μ2-bis(5-methyl-1H-1,2,4-triazolato-3-yl)methane-N1,N2',N4,N4')-di-zinc tetrahydrate)",colorless,10.1021/ja3073512,"Pei-Qin Liao, Dong-Dong Zhou, Ai-Xin Zhu, Lu Jiang, Rui-Biao Lin, Jie-Peng Zhang, Xiao-Ming Chen",Journal of the American Chemical Society,17380,134,2013-03-18,colorless
PEGCAH,"catena-((μ2-bis(5-Methyl-1H-1,2,4-triazolato-3-yl)methane-N1,N1',N4,N4')-(μ2-bis(5-methyl-1H-1,2,4-triazolato-3-yl)methane-N1,N2',N4,N4')-di-zinc carbon dioxide)",colorless,10.1021/ja3073512,"Pei-Qin Liao, Dong-Dong Zhou, Ai-Xin Zhu, Lu Jiang, Rui-Biao Lin, Jie-Peng Zhang, Xiao-Ming Chen",Journal of the American Chemical Society,17380,134,2013-03-18,colorless
PEGQAV,"catena-((μ4-4,5-Dicarboxylatoimidazolato)-(μ3-4,5-dicarboxylatoimidazolato)-triaqua-di-neodymium hydrate)",light purple,10.1002/anie.200500453,"Yan-Qiong Sun, Jie Zhang, Yong-Mei Chen, Guo-Yu Yang","Angewandte Chemie, International Edition",5814,44,2013-03-18,purple
PEJFIU,"catena-[Propane-1,3-diammonium tetrakis(μ4-phosphato)-(μ2-oxalato)-tetra-gallium(iii)]",colorless,10.1016/j.jssc.2006.03.031,"Zhenxia Chen, Songliang Tan, Linhong Weng, Yaming Zhou, Xiang Gao, Dongyuan Zhao",Journal of Solid State Chemistry,1931,179,2006-10-05,colorless
PEKDAM,"catena-((μ10-4-(3-(4-carboxylatophenoxy)-2-((3-(4-carboxylatophenoxy)-2,2-bis[(4-carboxylatophenoxy)methyl]propoxy)methyl)-2-[(4-carboxylatophenoxy)methyl]propoxy)benzoato)-bis(N,N-dimethylformamide)-diaqua-tri-manganese(ii) N,N-dimethylformamide solvate)",colorless,10.1021/cg3011844,"Fei-Yan Yi, Zhong-Ming Sun",Crystal Growth and Design,5693,12,2013-03-18,colorless
PEKDEQ,"catena-((μ10-4-(3-(4-carboxylatophenoxy)-2-((3-(4-carboxylatophenoxy)-2,2-bis[(4-carboxylatophenoxy)methyl]propoxy)methyl)-2-[(4-carboxylatophenoxy)methyl]propoxy)benzoato)-tetrakis(N,N-dimethylacetamide)-tri-manganese(ii) N,N-dimethylacetamide solvate)",colorless,10.1021/cg3011844,"Fei-Yan Yi, Zhong-Ming Sun",Crystal Growth and Design,5693,12,2013-03-18,colorless
PEKWAF,"catena-((μ6-1,4-phenylenebis(phosphonato))-bis(μ3-hydroxo)-aqua-tetraoxo-strontium-di-uranium sesquihydrate)",yellow,10.1021/cg301387p,"P.O.Adelani, T.E.Albrecht-Schmitt",Crystal Growth and Design,5800,12,2013-03-18,yellow
PELXIP,catena-((μ5-3-(tetrazolato)benzoato)-tris(μ4-3-(tetrazolato)benzoato)-diaqua-tetra-cadmium(ii) dihydrate),colorless,10.1039/c2ce26720a,"Li Liang, Chengfeng Yang, Yingzhao Ma, Hong Deng",CrystEngComm,365,15,2013-03-18,colorless
PENZUE,"catena-(bis(μ3-phosphito)-(μ2-1,3-bis(4-pyridyl)propane)-di-zinc trihydrate clathrate)",colorless,10.1021/ic0605266,"Liangming Hu, Jian Fan, C.Slebodnick, B.E.Hanson",Inorganic Chemistry,7681,45,2007-01-23,colorless
PEPLEC,"catena-((μ4-benzene-1,4-dicarboxylato)-(μ2-oxo)-vanadium(iv) aniline clathrate)",brown,10.1002/anie.200602556,"Xiqu Wang, Lumei Liu, A.J.Jacobson","Angewandte Chemie, International Edition",6499,45,2007-01-23,brown
PEQWAK,"catena-[(μ4-Naphthalene-2,6-dicarboxylato-O,O,O',O'',O'',O''')-(μ4-naphthalene-2,6-dicarboxylato-O,O',O'',O''')-bis(N,N-diethylformamide)-di-manganese]",,10.1021/ic0611948,"Hoi Ri Moon, N.Kobayashi, Myunghyun Paik Suh",Inorganic Chemistry,8672,45,2007-01-23,
PESTUD,"catena-(bis(μ3-aspartato)-(μ2-4,4'-bipyridine)-nickel)",blue,10.1002/anie.200602242,"R.Vaidhyanathan, D.Bradshaw, J.-N.Rebilly, J.P.Barrio, J.A.Gould, N.G.Berry, M.J.Rosseinsky","Angewandte Chemie, International Edition",6495,45,2007-01-23,blue
PETVEQ,catena-(tetrakis(μ3-Carbonyl)-tetrakis(μ3-diphenyl(methyl)siloxy)-tetracarbonyl-tetrakis(η5-cyclopentadienyl)-tetra-iron-tetra-sodium benzene solvate),red,10.1002/zaac.200600281,"T.I.Kuckmann, M.Bolte, M.Wagner, H.-W.Lerner",Zeitschrift fur Anorganische und Allgemeine Chemie,290,633,2007-04-17,red
PEVBUP,catena-[bis(μ5-3-(pyrazin-2-yl)-5-(6-[5-(pyrazin-2-yl)-triazolato-3-yl]pyridin-2-yl)-triazolato)-tetrakis(μ4-3-(pyrazin-2-yl)-5-(6-[5-(pyrazin-2-yl)-triazolato-3-yl]pyridin-2-yl)-triazolato)-dodecacyano-penta-copper(ii)-tetradeca-copper(i) acetonitrile solvate],brown,10.1002/chem.201204115,"Yi Han, N.F.Chilton, Ming Li, Chao Huang, Hong Xu, Hongwei Hou, B.Moubaraki, S.K.Langley, S.R.Batten, Yaoting Fan, K.S.Murray",Chemistry-A European Journal,6321,19,2013-05-19,brown
PEVZAT,"catena-[(μ4-2,3-dihydroxybutanedioato)-bis(μ2-4,4'-bipyridine)-bis(μ2-fluoro)-di-cobalt(ii) heptahydrate]",purple,10.1039/C3CE40162F,"Guangju Zhang, Hailiang Hu, Hao Li, Fangfang Zhao, Yang Liu, Xiaodie He, Hui Huang, Yan Xu, Ying Wei, Zhenhui Kang",CrystEngComm,3288,15,2013-05-19,purple
PEWXUL,"catena-((μ2-dicyanamide)-bis(μ2-1,2-bis(4-pyridyl)ethane)-nickel(ii) acetonitrile solvate pentahydrate)",violet,10.1038/nmat1827,"T.K.Maji, R.Matsuda, S.Kitagawa",Nature Materials,142,6,2007-04-17,violet
PEXBIF,"catena-(bis(μ2-Pyridine-2,3-dicarboxylato)-bis(μ2- 1,1'-butane-1,4-diylbis(1H-imidazole))-di-cadmium tetrahydrate)",colorless,10.1016/j.poly.2013.03.060,"Ying-Ying Liu, Bo Liu, Jin Yang, Jian-Fang Ma",Polyhedron,96,56,2013-05-19,colorless
PEZCII,"catena-[(μ6-benzene-1,3,5-tris(4-benzoato))-aqua-lanthanum unknown solvate]",,10.1002/adfm.201203288,"Duan Jingui, M.Higuchi, S.Horike, Maw Lin Foo, K.P.Rao, Y.Inubushi, T.Fukushima, S.Kitagawa",Advanced Functional Materials,3525,23,2013-05-19,
PIBNUK,"catena-(bis(μ6-2,4,6-tris(4-Carboxyphenyl)-s-triazine)-diaqua-tri-zinc dimethylformamide solvate hexahydrate)",colorless,10.1021/ic0624773,"Daofeng Sun, Yanxiong Ke, D.J.Collins, G.A.Lorigan, Hong-Cai Zhou",Inorganic Chemistry,2725,46,2007-07-19,colorless
PIJROR,"catena-[(μ6-5,5',5''-benzene-1,3,5-triyltrithiophene-2-carboxylato)-(N,N-dimethylformamide)-cerium(iii) N,N-dimethylformamide solvate]",colorless,10.1039/C3CC43384F,"T.Kajiwara, M.Higuchi, A.Yuasa, H.Higashimura, S.Kitagawa",Chemical Communications,10459,49,2013-07-23,colorless
PIPDAV,"catena-((μ2-2-Methylpyrazine)-bis(μ2-thiocyanato-N,S)-manganese)",,10.1002/zaac.201300361,"S.Wohlert, T.Runcevski, R.E.Dinnebier, C.Nather",Zeitschrift fur Anorganische und Allgemeine Chemie,2648,639,2013-12-10,
PITPEP,"catena-[(μ4-((2,4,6-trimethylbenzene-1,3,5-triyl)tris(methylene))tris(hydrogen phosphonato))-aqua-aluminium]",colorless,10.1039/C3DT53167H,"Si-Fu Tang, Jin-Jun Cai, Liang-Jun Li, Xiao-Xia Lv, Chao Wang, Xue-Bo Zhao",Dalton Transactions,5970,43,2013-12-11,colorless
PIWRAQ,catena-[dodecakis(μ-isonicotinato)-hexakis(μ2-chloro)-pentakis(μ-cyano)-bis(isonicotinato)-dodeca-aqua-trideca-copper-tetra-terbium],orange,10.1039/C3CE42025F,"Ying-Zhao Ma, Li-Min Zhang, Guo Peng, Chong-Jian Zhao, Ruo-Ting Dong, Cheng-Feng Yang, Hong Deng",CrystEngComm,667,16,2013-12-12,orange
PIZQUM,"catena-[(L)-(μ4-2-{[(1-carboxylatoethyl)carboximidato](oxidanidyl)methylidene}aminopropanoato)-(μ2-4,4'-methylenebis(3,5-dimethyl-1H-pyrazole))-di-copper 1-phenylethanol solvate]",green,10.1021/ic500436g,"Lang Lin, Rong-Min Yu, Xiao-Yuan Wu, Wenbin Yang, Jian Zhang, Xiang-Guang Guo, Zujin Lin, Can-Zhong Lu",Inorganic Chemistry,4794,53,2014-05-22,green
PIZRUN,"catena-[(D)-(μ4-2-{[(1-carboxylatoethyl)carboximidato](oxidanidyl)methylidene}aminopropanoato)-(μ2-4,4'-methylenebis(3,5-dimethyl-1H-pyrazole))-di-copper 1-phenylethanol solvate]",green,10.1021/ic500436g,"Lang Lin, Rong-Min Yu, Xiao-Yuan Wu, Wenbin Yang, Jian Zhang, Xiang-Guang Guo, Zujin Lin, Can-Zhong Lu",Inorganic Chemistry,4794,53,2014-05-22,green
POBNEA,"catena-(penta-lithium tris(μ4-1,3-phenylenebis(oxamato))-hexaaqua-di-cobalt(ii)-tri-lithium(i) hydrate)",red,10.1002/anie.200800208,"E.Pardo, D.Cangussu, M.-C.Dul, R.Lescouezec, P.Herson, Y.Journaux, E.F.Pedroso, C.L.M.Pereira, M.C.Munoz, R.Ruiz-Garcia, J.Cano, P.Amoros, M.Julve, F.Lloret","Angewandte Chemie, International Edition",4211,47,2008-10-16,red
POCPAZ,"catena-(bis(μ2-3,5-Dinitrobenzoato)-bis(μ2-1,3-bis(4-pyridyl)propane)-(μ2-aqua)-bis(3,5-dinitrobenzoato)-di-cobalt(ii) methyl 3,5-dinitrobenzoate clathrate)",red,10.1080/00958970701615854,"Xiuli Wang, Guocheng Liu, Baokuan Chen, Yanfeng Bi, Hongyan Lin",Journal of Coordination Chemistry,1635,61,2008-10-16,red
PODVIP,"catena-[bis(μ6-[4'-(hydroxyphosphinato)biphenyl-4-yl]phosphonato)-bis(μ4-[4'-(hydroxyphosphinato)biphenyl-4-yl]phosphonato)-(μ2-2,2'-bipyrimidine)-diaqua-octaoxo-di-copper-tetra-uranium]",green,10.1021/ic500220d,"P.O.Adelani, N.D.Cook, J.-M.Babo, P.C.Burns",Inorganic Chemistry,4169,53,2014-05-24,green
